,Time,Frame type,Frame size,pmu index,Frequency,ROCOF
56,1727774854.859447,0,42,0,17008,0.0
57,1727774854.892985,0,42,0,17008,0.0
58,1727774871.7045572,0,42,0,17008,0.0
59,1727774871.7378392,0,42,0,17008,0.0
60,1727774854.9928315,0,42,0,17008,0.0
61,1727774855.0263696,0,42,0,17008,0.0
62,1727774855.0596519,0,42,0,17008,0.0
63,1727774855.092934,0,42,0,17008,0.0
64,1727774838.3479264,0,42,0,17008,0.0
65,1727774871.937788,0,42,0,17008,0.0
66,1727774871.971326,0,42,0,17008,0.0
67,1727774872.0046084,0,42,0,17008,0.0
68,1727774855.2596006,0,42,0,17008,0.0
69,1727774855.2928827,0,42,0,17008,0.0
70,1727774855.326165,0,42,0,17008,0.0
71,1727774855.359447,0,42,0,17008,0.0
72,1727774838.6146953,0,42,0,17008,0.0
73,1727774872.2045572,0,42,0,17008,0.0
74,1727774872.2378392,0,42,0,17008,0.0
75,1727774855.4928315,0,42,0,17007,0.0
76,1727774855.5261137,0,42,0,17007,0.0
77,1727774855.5596519,0,42,0,17006,0.0
78,1727774838.814644,0,42,0,17006,0.0
79,1727774872.404506,0,42,0,17006,0.0
80,1727774872.437788,0,42,0,17006,0.0
81,1727774855.6927803,0,42,0,17006,0.0
82,1727774855.7263186,0,42,0,17006,0.0
83,1727774855.7596006,0,42,0,17006,0.0
84,1727774855.7928827,0,42,0,17006,0.0
85,1727774839.0478752,0,42,0,17005,0.0
86,1727774872.6377368,0,42,0,17005,0.0
87,1727774872.671275,0,42,0,17005,0.0
88,1727774855.9262674,0,42,0,17004,0.0
89,1727774855.9595494,0,42,0,17004,0.0
90,1727774855.9928315,0,42,0,17003,0.0
91,1727774856.0263696,0,42,0,17003,0.0
92,1727774856.0596519,0,42,0,17002,0.0
93,1727774839.314644,0,42,0,17002,0.0
94,1727774872.904506,0,42,0,17002,0.0
95,1727774856.1594982,0,42,0,17002,0.0
96,1727774856.1930363,0,42,0,17002,0.0
97,1727774856.2263186,0,42,0,17002,0.0
98,1727774856.2596006,0,42,0,17002,0.0
99,1727774839.514593,0,42,0,17002,0.0
100,1727774873.1044548,0,42,0,17002,0.0
